,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
0,"""Across the Universe""[e]",Let It Be Past Masters,Lennon McCartney,Lennon,1969,[51] [52]
1,"""Act Naturally""",Help!,Johnny Russell Voni Morrison †,Starr,1965,[53]
2,"""All I've Got to Do""",With the Beatles,Lennon McCartney,Lennon,1963,[54]
3,"""All My Loving""",With the Beatles,Lennon McCartney,McCartney,1963,[54]
4,"""All Together Now""",Yellow Submarine,Lennon McCartney,McCartney (with Lennon),1969,[55]
5,"""All You Need Is Love""[f] #",Magical Mystery Tour,Lennon McCartney,Lennon,1967,[56] [57]
6,"""And I Love Her""",A Hard Day's Night,Lennon McCartney,McCartney,1964,[58]
7,"""And Your Bird Can Sing""",Revolver,Lennon McCartney,Lennon,1966,[59]
8,"""Anna (Go to Him)""",Please Please Me,Arthur Alexander †,Lennon,1963,[60]
9,"""Another Girl""",Help!,Lennon McCartney,McCartney,1965,[53]
10,"""Any Time at All""",A Hard Day's Night,Lennon McCartney,Lennon (with McCartney),1964,[58]
11,"""Ask Me Why""",Please Please Me,Lennon McCartney,Lennon,1963,[60]
12,"""Baby It's You""",Please Please Me,Burt Bacharach Mack David Luther Dixon †,Lennon,1963,[60]
13,"""Baby, You're a Rich Man"" #","Magical Mystery Tour (B-side of ""All You Need Is Love"")",Lennon McCartney,Lennon,1967,[56] [57]
14,"""Baby's in Black""",Beatles for Sale,Lennon McCartney,Lennon McCartney,1964,[61]
15,"""Back in the U.S.S.R.""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
16,"""Bad Boy""",Past Masters,Larry Williams †,Lennon,1965,[52]
17,"""The Ballad of John and Yoko"" #",Past Masters,Lennon McCartney,Lennon,1969,[52] [63]
18,"""Because""",Abbey Road,Lennon McCartney,Lennon (with McCartney and Harrison),1969,[64]
19,"""Being for the Benefit of Mr. Kite!""",Sgt. Pepper's Lonely Hearts Club Band,Lennon McCartney,Lennon,1967,[65]
