,Song,Writer(s),Original release,Producer(s),Year,Ref.
0,"""#9 Dream""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
1,"""Ain't She Sweet""",Jack Yellen Milton Ager †,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
2,"""Ain't That a Shame""",Fats Domino Dave Bartholomew †,Rock 'n' Roll,John Lennon,1975,[24]
3,"""Aisumasen (I'm Sorry)""",John Lennon,Mind Games,John Lennon,1973,[25]
4,"""Amsterdam"" #",John Lennon Yoko Ono,Wedding Album,John Lennon Yoko Ono,1969,[26]
5,"""Angel Baby""",Rosie Hamlin †,Menlove Ave.,John Lennon Phil Spector,1986,[27]
6,"""Angela"" # (with Elephant's Memory)",John Lennon Yoko Ono,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
7,"""Attica State"" # (with Elephant's Memory)",John Lennon Yoko Ono,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
8,"""Aü"" (live) # (with the Mothers of Invention)",John Lennon Yoko Ono,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
9,"""Baby's Heartbeat"" #",John Lennon Yoko Ono,Unfinished Music No. 2: Life with the Lions,John Lennon Yoko Ono,1969,[29]
10,"""Be My Baby""",Phil Spector Ellie Greenwich Jeff Barry †,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
11,"""Be-Bop-A-Lula""",Bill Davis Gene Vincent †,Rock 'n' Roll,John Lennon,1975,[24]
12,"""Beautiful Boy (Darling Boy)"" #",John Lennon,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
13,"""Beautiful Boys"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
14,"""Beef Jerky""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
15,"""Bless You""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
16,"""Blue Suede Shoes"" (live) (Plastic Ono Band)",Carl Perkins †,Live Peace in Toronto 1969,John Lennon Yoko Ono,1969,[31]
17,"""Bony Moronie""",Larry Williams †,Rock 'n' Roll,Phil Spector,1975,[24]
18,"""Born in a Prison"" # (with Elephant's Memory)",Yoko Ono †,Some Time in New York City,John Lennon Yoko Ono Phil Spector,1972,[28]
