,Song,Artist,Writer(s),Original release,Year,Ref.
0,"""1882""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway (Archive Collection),2018,[42]
1,"""222""",Paul McCartney,Paul McCartney,Memory Almost Full (2-CD edition),2007,[43]
2,"""3 Legs""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[44]
3,"""4 4 4""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
4,"""4th of July""",Wings,Paul McCartney Linda McCartney,Venus and Mars (Archive Collection),2014,[46]
5,"""7 a.m.""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
6,"""About You""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
7,"""Ac-Cent-Tchu-Ate the Positive"" (Johnny Mercer cover)",Paul McCartney,Harold Arlen Johnny Mercer †,Kisses on the Bottom,2012,[49]
8,"""African Yeah Yeah""",Wings,Paul McCartney Linda McCartney,Wild Life (Archive Collection),2018,[50]
9,"""After the Ball/Million Miles""",Wings,Paul McCartney,Back to the Egg,1979,[51]
10,"""Again and Again and Again""",Wings,Denny Laine †,Back to the Egg,1979,[51]
11,"""Ain't No Sunshine"" (live) (Bill Withers cover)",Paul McCartney,Bill Withers †,Unplugged (The Official Bootleg),1991,[52]
12,"""Ain't That a Shame"" (Fats Domino cover)",Paul McCartney,Antoine Domino Dave Bartholomew †,CHOBA B CCCP,1988,[53]
13,"""All Day""","Kanye West featuring Theophilus London, Allan Kingdom and Paul McCartney",Kanye West Paul McCartney Velous Kendrick Lamar French Montana Ernest Brown Cydel Young Vic Mensa Allan Kingdom Mike Dean Che Pope Noah Goldstein Allen Ritter Mario Winans Charles Njapa Malik Yusef Plain Pat Ab-Liva Noel Ellis,Non-album single,2015,[54]
14,"""All My Trials"" (live)",Paul McCartney,Trad. arr. Paul McCartney †,Tripping the Live Fantastic: Highlights!,1990,[55]
15,"""All Shook Up"" (Elvis Presley cover)",Paul McCartney,Otis Blackwell Elvis Presley †,Run Devil Run,1999,[56]
16,"""All Things Must Pass"" (live)",Paul McCartney,George Harrison†,Concert for George,2003,[57]
17,"""All You Horse Riders/Blue Sway""",Paul McCartney,Paul McCartney,McCartney II (Archive Collection),2011,[58]
18,"""Alligator""",Paul McCartney,Paul McCartney,New,2013,[59]
19,"""Always"" (Henry Burr cover)",Paul McCartney,Irving Berlin †,Kisses on the Bottom,2012,[49]
20,"""Angry""",Paul McCartney,Paul McCartney Eric Stewart,Press to Play,1986,[60]
21,"""Another Day""",Paul McCartney,Paul McCartney Linda McCartney,Non-album single,1971,[61]
22,"""Anyway""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
23,"""Appletree Cinnabar Amber""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
24,"""Appreciate""",Paul McCartney,Paul McCartney,New,2013,[59]
25,"""Arizona Light""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
26,"""Arrow Through Me""",Wings,Paul McCartney,Back to the Egg,1979,[51]
27,"""At the Mercy""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
28,"""Atlantic Ocean""",Paul McCartney,Paul McCartney,Oobu Joobu,1995,[63][64]
29,"""Auraveda""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
30,"""Average Person""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
31,"""B-Side to Seaside""",Suzy and the Red Stripes[b],Paul McCartney Linda McCartney,"B-side to ""Seaside Woman""",1977,[66]
32,"""Baby Face"" (from ""One Hand Clapping"") (Jan Garber cover)",Wings,Harry Akst Benny Davis †,Venus and Mars (Archive Collection),2014,[46]
33,"""Baby's Request""[c]",Wings,Paul McCartney,Back to the Egg,1979,[51]
34,"""Back in Brazil""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
35,"""Back in the Sunshine Again""",Paul McCartney,Paul McCartney James McCartney,Driving Rain,2001,[48]
36,"""Back on My Feet""",Paul McCartney,Paul McCartney Declan MacManus,"B-side to ""Once Upon a Long Ago""",1987,[69]
37,"""The Back Seat of My Car""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[44]
38,"""Backwards Traveller""",Wings,Paul McCartney,London Town,1978,[70]
39,"""The Ballad Of The Skeletons""",Allen Ginsberg with Paul McCartney,Paul McCartney Allen Ginsberg Philip Glass,The Ballad Of The Skeletons EP,1996,[71]
40,"""Ballroom Dancing""[d]",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
41,"""Band on the Run""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Band on the Run,1973,[74]
42,"""Be What You See (Link)""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
43,"""Be-Bop-A-Lula"" (live) (Gene Vincent cover)",Paul McCartney,Gene Vincent Tex Davis †,Unplugged (The Official Bootleg),1991,[52]
44,"""Beautiful Night""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
45,"""Best Friend"" (live)",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway (Archive Collection),2018,[42]
46,"""Beware My Love""",Wings,Paul McCartney Linda McCartney,Wings at the Speed of Sound,1976,[76]
47,"""Big Barn Bed""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway,1973,[77]
48,"""Big Boys Bickering""",Paul McCartney,Paul McCartney,"B-side to ""Hope of Deliverance""",1992,[78]
49,"""Biker Like an Icon""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
50,"""Bip Bop""",Wings,Paul McCartney Linda McCartney,Wild Life,1971,[80]
51,"""Bip Bop Link""",Wings,Paul McCartney Linda McCartney,Wild Life (1993 remaster),1993,[81]
52,"""Bison""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
53,"""Blue Jean Bop"" (Gene Vincent cover)",Paul McCartney,Gene Vincent Hal Levy †,Run Devil Run,1999,[56]
54,"""Blue Moon of Kentucky"" (live) (Bill Monroe cover)",Paul McCartney,Bill Monroe †,Unplugged (The Official Bootleg),1991,[52]
55,"""Blue Sway""",Paul McCartney,Paul McCartney,McCartney II (Archive Collection),2011,[58]
56,"""Bluebird""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Band on the Run,1973,[74]
57,"""Bogey Music""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
58,"""Bogey Wobble""",Paul McCartney,Paul McCartney,McCartney II (Archive Collection),2011,[58]
59,"""Bring It On Home to Me"" (Sam Cooke cover)",Paul McCartney,Lloyd Price †,CHOBA B CCCP,1988,[53]
60,"""Bridge on the River Suite""",The Country Hams[e],Paul McCartney Linda McCartney,"B-side to ""Walking in the Park with Eloise""",1974,[83]
61,"""The Broadcast""",Wings,Paul McCartney,Back to the Egg,1979,[51]
62,"""Broomstick""",Paul McCartney,Paul McCartney,"B-side to ""Young Boy"" (CD2)",1997,[84]
63,"""Brown Eyed Handsome Man"" (Chuck Berry cover)",Paul McCartney,Chuck Berry †,Run Devil Run,1999,[56]
64,"""Bye Bye Blackbird"" (Sam Lanin's Dance Orchestra cover)",Paul McCartney,Ray Henderson Mort Dixon †,Kisses on the Bottom,2012,[49]
65,"""C Moon""",Wings,Paul McCartney Linda McCartney,"B-side to ""Hi, Hi, Hi""",1972,[85]
66,"""C'mon Down C'mon Baby""",Paul McCartney,Paul McCartney,Flaming Pie (Archive Collection),2020,[86]
67,"""C'Mon People""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
68,"""Caesar Rock""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
69,"""Café on the Left Bank""",Wings,Paul McCartney,London Town,1978,[70]
70,"""Calico Skies""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
71,"""Call Me Back Again""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
72,"""Celtic Stomp""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
73,"""A Certain Softness""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
74,"""Check My Machine""",Paul McCartney,Paul McCartney,"B-side to ""Waterfalls""",1980,[88]
75,"""Children Children""",Wings,Paul McCartney Denny Laine,London Town,1978,[70]
76,"""Christian Bop""",Paul McCartney,Paul McCartney,Pipes of Peace (Archive Collection),2015,[89]
77,"""The Christmas Song (Chestnuts Roasting on an Open Fire)"" (Nat King Cole cover)",Paul McCartney,Mel Tormé Robert Wells †,Holidays Rule,2012,[90]
78,"""Come and Get It""[f] (demo)",Paul McCartney,Paul McCartney,Anthology 3,1996,[92]
79,"""Come On to Me""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
80,"""Come Together""[g]",The Smokin' Mojo Filters[h],John Lennon Paul McCartney,Non-album single,1995,[93]
81,"""Comfort of Love""",Paul McCartney,Paul McCartney,"B-side to ""Fine Line""",2005,[94]
82,"""Coming Up""[i]",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
83,"""Confidante""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
84,"""Cook of the House""",Wings,Paul McCartney Linda McCartney,Wings at the Speed of Sound,1976,[76]
85,"""Coquette"" (Guy Lombardo cover)",Paul McCartney,Johnny Green Carmen Lombardo Gus Kahn †,Run Devil Run,1999,[56]
86,"""Corridor Music""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[72]
87,"""Cosmically Conscious""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[96]
88,"""Country Dreamer""",Paul McCartney and Wings,Paul McCartney Linda McCartney,"B-side to ""Helen Wheels""",1973,[97]
89,"""Crackin' Up"" (Bo Diddley cover)",Paul McCartney,Ellas McDaniel †,CHOBA B CCCP,1988,[53]
90,"""Crossroads Theme""",Wings,Tony Hatch †,Venus and Mars,1975,[87]
91,"""Cuff Link""",Wings,Paul McCartney,London Town,1978,[70]
92,"""Cut Me Some Slack""","Paul McCartney, Dave Grohl, Krist Novoselic, and Pat Smear",Paul McCartney Dave Grohl Krist Novoselic Pat Smear,Sound City: Real to Reel,2013,[98]
93,"""Dance 'Til We're High""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
94,"""Dance Tonight""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
95,"""Darkroom""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
96,"""Daytime Nighttime Suffering""",Wings,Paul McCartney,"B-side of ""Goodnight Tonight""",1979,[101]
97,"""Dear Boy""",Paul and Linda McCartney,Paul McCartney Linda McCartney,Ram,1971,[44]
98,"""Dear Friend""",Wings,Paul McCartney Linda McCartney,Wild Life,1971,[80]
99,"""Deep Deep Feeling""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
100,"""Deep Down""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
101,"""Deliver Your Children""",Wings,Paul McCartney Denny Laine,London Town,1978,[70]
102,"""Demons Dance""",Paul McCartney,Paul McCartney,New (Collector's edition),2014,[103]
103,"""Despite Repeated Warnings""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
104,"""Distractions""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[104]
105,"""Do It Now""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
106,"""Dominoes""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
107,"""Don't Be Careless Love""",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt,1989,[104]
108,"""Don't Break The Promise""",Paul McCartney,Paul McCartney Eric Stewart,Oobu Joobu,1995,[63][64]
109,"""Don't Get Around Much Anymore"" (Duke Ellington cover)",Paul McCartney,Duke Ellington Bob Russell †,CHOBA B CCCP,1988,[53]
110,"""Don't Let It Bring You Down""",Wings,Paul McCartney Denny Laine,London Town,1978,[70]
111,"""Don't Let the Sun Catch You Crying"" (live) (Louis Jordan And His Tympany Five cover)",Paul McCartney,Joe Greene †,Tripping the Live Fantastic,1990,[105]
112,"""Don't Stop Running""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
113,"""Down to the River""",Paul McCartney,Paul McCartney,"B-side to ""C'Mon People""",1993,[106]
114,"""Dress Me Up as a Robber""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
115,"""Drive My Car""",Various Artists,Paul McCartney,"Awareness Message Project, Volume 3",1994,[107]
116,"""Driving Rain""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
117,"""Early Days""",Paul McCartney,Paul McCartney,New,2013,[59]
118,"""Eat at Home""",Paul and Linda McCartney,Paul McCartney Linda McCartney,Ram,1971,[44]
119,"""Ebony and Ivory""",Paul McCartney and Stevie Wonder,Paul McCartney,Tug of War,1982,[73]
120,"""Eleanor Rigby""[g] / ""Eleanor's Dream""",Paul McCartney,John Lennon Paul McCartney / Paul McCartney,Give My Regards to Broad Street,1984,[72]
121,"""The End of the End""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
122,"""English Tea""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
123,"""Ever Present Past""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
124,"""Every Night""",Paul McCartney,Paul McCartney,McCartney,1970,[108]
125,"""Everybody Out There""",Paul McCartney,Paul McCartney,New,2013,[59]
