,Song,Writer(s)[a],Original release,Producer(s),Year,Ref.
0,"""$15 Draw""",Sorrells Pickard †,Beaucoups of Blues,Pete Drake,1970,[44]
1,"""Act Naturally"" (with Buck Owens)",Johnny Russell Voni Morrison †,Non-album single,Jerry Crutchfield Jim Shaw,1989,[45]
2,"""After All These Years""",Richard Starkey Johnny Warman,Time Takes Time,Jeff Lynne,1992,[46]
3,"""Alibi""",Joe Walsh Richard Starkey,Old Wave,Joe Walsh,1983,[47]
4,"""All by Myself""",Vini Poncia Richard Starkey,Goodnight Vienna,Richard Perry,1974,[48]
5,"""All in the Name of Love""",Jerry Lynn Williams †,Time Takes Time,Phil Ramone,1992,[46]
6,"""Anthem""",Richard Starkey Glen Ballard,Ringo 2012,Ringo Starr,2012,[49]
7,"""As Far as We Can Go""",Russ Ballard †,Old Wave,Joe Walsh,1983,[47]
8,"""Attention""",Paul McCartney †,Stop and Smell the Roses,Paul McCartney,1981,[50]
9,"""Back Off Boogaloo""[b]",Richard Starkey[c],Non-album single,George Harrison,1972,[54]
10,"""Bad Boy""",Lil Armstrong Avon Long †,Bad Boy,Vini Poncia,1978,[55]
11,"""Bamboula""",Richard Starkey Van Dyke Parks,Postcards from Paradise,Ringo Starr,2015,[56]
12,"""Be My Baby""",Joe Walsh Richard Starkey,Old Wave,Joe Walsh,1983,[47]
13,"""Beaucoups of Blues""",Buzz Rabin †,Beaucoups of Blues,Pete Drake,1970,[44]
14,"""Better Days""",Richard Starkey Grant Michaels Sam Hollander,What's My Name,Ringo Starr,2019,[57]
15,"""Blindman""",Richard Starkey,"B-side to ""Back Off Boogaloo""",George Harrison,1972,[54]
16,"""Blink""",Richard Starkey Mark Hudson Steve Dudas Dean Grakal,Ringo Rama (Deluxe edition),Mark Hudson Ringo Starr,2003,[58]
17,"""Blue Christmas""",Bill Hayes Jay Johnson †,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
18,"""Blue, Turning Grey Over You""",Andy Razaf Fats Waller †,Sentimental Journey,George Martin,1970,[60]
19,"""Boat Ride""",Roger Brown †,Scouse the Mouse,Hugh Murphy,1977,[61]
20,"""Brandy""",Joseph B. Jefferson Charles B. Simmons †,Stop and Smell the Roses (1994 reissue),Ronnie Wood Ringo Starr,1994,[62]
21,"""Bridges""",Richard Starkey Joe Walsh,Postcards from Paradise,Ringo Starr,2015,[56]
22,"""Bye Bye Blackbird""",Mort Dixon Ray Henderson †,Sentimental Journey,George Martin,1970,[60]
23,"""Call Me""",Richard Starkey,Goodnight Vienna,Richard Perry,1974,[48]
24,"""Can She Do It Like She Dances""",Steve Duboff Gerry Robinson †,Ringo the 4th,Arif Mardin,1977,[63]
25,"""Can't Do It Wrong""",Richard Starkey Gary Burr,Y Not,Ringo Starr Bruce Sugar,2010,[64]
26,"""The Christmas Dance""",Richard Starkey Mark Hudson Jim Cox Steve Dudas,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
27,"""Christmas Eve""",Richard Starkey Mark Hudson,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
28,"""Christmas Time (Is Here Again)""[d]",John Lennon Paul McCartney George Harrison Richard Starkey,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
29,"""Choose Love""",Richard Starkey Mark Hudson Gary Burr,Choose Love,Mark Hudson Ringo Starr,2005,[65]
30,"""Come On Christmas, Christmas Come On""",Richard Starkey Mark Hudson Dean Grakal,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
31,"""Coming Undone"" (featuring Trombone Shorty)",Linda Perry †,Change the World (EP),Ringo Starr Bruce Sugar Linda Perry,2021,[66]
32,"""Confirmation""",Richard Starkey Glen Ballard,Postcards from Paradise,Ringo Starr,2015,[56]
33,"""Cookin' (In the Kitchen of Love)""",John Lennon †,Ringo's Rotogravure,Arif Mardin,1976,[67]
34,"""Coochy Coochy""",Richard Starkey,"B-side to ""Beaucoups of Blues""",Pete Drake,1970,[68]
35,"""Cryin'""",Vini Poncia Richard Starkey,Ringo's Rotogravure,Arif Mardin,1976,[67]
