,id,position,artist,title,year,writers,slug,description,image,appleSongID
53,1224890,447,The Beatles,Help!,1965,"['John Lennon', 'Paul McCartney']",the-beatles-help-5-1224890,"<p>&#8220;Most people think it&#8217;s just a fast rock &amp; roll song,&#8221; Lennon said. &#8220;Subconsciously, I was crying out for help. I didn&#8217;t realize it at the time; I just wrote the song because I was commissioned to write it for the movie.&#8221; Overwhelmed by Beatlemania, Lennon was eating &#8220;like a pig,&#8221; drinking too much, and &#8220;smoking marijuana for breakfast&#8221; — only 24 years old, he was already expressing nostalgia for his lost youth. &#8220;I don&#8217;t like the recording that much,&#8221; Lennon would later tell <i>Rolling Stone.</i> &#8220;We did it too fast, to try and be commercial.&#8221;</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/446-beatles-help.jpeg?w=306&h=306&crop=1,1441164536
220,1225058,280,The Beatles,Penny Lane,1967,"['John Lennon', 'Paul McCartney']",the-beatles-penny-lane-2-1225058,"<p>After Lennon composed &#8220;Strawberry Fields Forever,&#8221; McCartney wrote his own snappy memoir. Penny Lane was a Liverpool bus stop where Lennon and McCartney often met. &#8220;The song was generated by a kind of &#8216;I can do just as well as you can, John,&#8217; because we&#8217;d just recorded &#8216;Strawberry Fields,'&#8221; said George Martin. &#8220;It was such a knockout, I think Paul went back to perfect his idea.” There was collaboration amid the competition, too: &#8220;John came over and helped me with the third verse, as was often the case,&#8221; McCartney said. &#8220;We were writing recently faded memories from eight or 10 years before.&#8221;</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/280-beatles-penny-lane.jpeg?w=1240&h=1240&crop=1,1441163777
257,1225095,243,The Beatles,Eleanor Rigby,1966,"['John Lennon', 'Paul McCartney']",the-beatles-eleanor-rigby-3-1225095,"<p>“Eleanor Rigby” was one of the Beatles’ most radical shifts, both musically and emotionally. McCartney was still just 23 when he wrote this empathetic portrait of old age. He fumbled with the story until he hit on the image “picks up the rice in a church where a wedding has been.” As he said, “So this became a song about lonely people.” None of the Beatles play on it — George Martin conducted an eight-man classical-string section. “Father McKenzie” was originally “Father McCartney”; Lennon and McCartney flipped through a phone book until they found the name they wanted.</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/241-beatles-eleanor-rigby.jpeg?w=306&h=306&crop=1,1441164806
365,1225203,135,The Beatles,She Loves You,1964,"['John Lennon', 'Paul McCartney']",the-beatles-she-loves-you-2-1225203,"<p>Lennon and McCartney began writing this song in a tour van, and George Harrison dreamed up the harmonies, which George Martin found &#8220;corny.&#8221; The band overruled Martin on the harmonies, but they took his suggestion to kick off the song with the jubilant chorus. When McCartney&#8217;s father heard the song, he said, &#8220;Son, there are enough Americanisms around. Couldn&#8217;t you sing, &#8216;Yes, yes, yes,&#8217; just for once?&#8221; McCartney responded, &#8220;You don&#8217;t understand, Dad. It wouldn&#8217;t work.&#8221;</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/136-the-beatles-she-loves-you.jpeg?w=306&h=306&crop=1,1441133342
379,1225217,121,The Beatles,Let It Be,1970,"['John Lennon', 'Paul McCartney']",the-beatles-let-it-be-4-1225217,"<p>Inspired by the church-born soul of Aretha Franklin, an anxious Paul McCartney started writing &#8220;Let It Be&#8221; in 1968 and unveiled a skeletal version to the other Beatles during the disastrous <i>Let It Be</i> rehearsals in January 1969. John Lennon was brutally dismissive, mistaking McCartney&#8217;s secular humanism for self-righteous piety. Yet the Beatles put special labor into the song, getting the consummate take on January 31st — the day after their last live performance, on the roof of their Apple offices in London. Released four months later, &#8220;Let It Be&#8221; effectively became an elegy for the band that had defined the Sixties.</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/121-beatles-let-it-be.png?w=800&h=785&crop=1,1441164738
390,1225228,110,The Beatles,Something,1969,['George Harrison'],the-beatles-something-2-1225228,"<p>In 1968, James Taylor, a new signee to the Beatles’ Apple Records, recorded “Something in the Way She Moves,” the title of which inspired George Harrison to write “Something” near the end of the White Album sessions (one place-holder lyric: &#8220;Something in the way she moves/Attracts me like a cauliflower&#8221;). It was too late to squeeze it onto the disc, so he gave it to Joe Cocker. The Beatles cut a new version the next year with a string section, Harrison’s only A-side single with the Beatles, which quickly became a standard recorded by everyone from Frank Sinatra to Ray Charles.</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/110-beatles-something.jpeg?w=306&h=306&crop=1,1441164582
402,1225240,98,The Beatles,In My Life,1965,"['John Lennon', 'Paul McCartney']",the-beatles-in-my-life-2-1225240,"<p>&#8220;&#8216;In My Life&#8217; was, I think, my first real, major piece of work,&#8221; John Lennon said. &#8220;Up until then it had all been glib and throwaway.&#8221; The ballad reflects the serious turn the Beatles took with <i>Rubber Soul,</i> but it specifically arose from a journalist&#8217;s challenge: Why don&#8217;t you write songs about your life? The original lyrics put Lennon on a bus in Liverpool, &#8220;and it was the most boring sort of &#8216;What I Did on My Holidays Bus Trip&#8217; song,&#8221; he said. So Lennon rewrote the lyrics, changing the song into a gorgeous reminiscence about his life before the Beatles. The distinctive &#8220;harpsichord&#8221; solo near the song&#8217;s end is actually an electric piano played by George Martin and sped up on tape.</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/98-beatles-in-my-life.jpeg?w=306&h=306&crop=1,1441164829
411,1225249,89,The Beatles,Hey Jude,1968,"['John Lennon', 'Paul McCartney']",the-beatles-hey-jude-2-1225249,"<p>The Beatles&#8217; biggest U.S. single — nine weeks at Number One — was also their longest, at seven minutes and 11 seconds. During the recording sessions, producer George Martin objected to the length, claiming DJs would not play the song. &#8220;They will if it&#8217;s us,&#8221; John Lennon shot back. Paul McCartney wrote &#8220;Hey Jude&#8221; in June 1968, singing to himself on his way to visit Lennon&#8217;s soon-to-be-ex-wife, Cynthia, and their son, Julian. The opening lines were, McCartney once said, &#8220;a hopeful message for Julian: &#8216;Come on, man, your parents got divorced. I know you&#8217;re not happy, but you&#8217;ll be OK.'&#8221; McCartney changed &#8220;Jules&#8221; to &#8220;Jude&#8221; — a name inspired by Jud from the musical <i>Oklahoma!</i></p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/89-the-beatles-hey-jude.jpeg?w=306&h=306&crop=1,1441133277
428,1225266,72,The Beatles,Yesterday,1965,"['John Lennon', 'Paul McCartney']",the-beatles-yesterday-2-1225266,"<p>Paul McCartney&#8217;s greatest ballad holds a Guinness World Record as the most recorded song of all time; seven years after its release, there were 1,186 versions by artists as varied as Frank Sinatra, Otis Redding, and Willie Nelson. McCartney auditioned the song for George Martin, with the working title &#8220;Scrambled Eggs,&#8221; in a hotel room in Paris in January 1964 — before the Beatles had even landed in America — but would not record it for another year and a half. &#8220;We were a little embarrassed about it,&#8221; McCartney confessed. &#8220;We were a rock &amp; roll band.&#8221; A Number One single in America, &#8220;Yesterday&#8221; was, in his own words, &#8220;the most complete song I have ever written.&#8221;</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/72-beatles-yesterday.jpeg?w=306&h=306&crop=1,1441164805
476,1225314,24,The Beatles,A Day in the Life,1967,"['John Lennon', 'Paul McCartney']",the-beatles-a-day-in-the-life-4-1225314,"<p>&#8220;A Day in the Life&#8221; was one of the last true Lennon-McCartney collaborations: John Lennon wrote the opening and closing sections, and Paul McCartney contributed the &#8220;Woke up/Fell out of bed&#8221; middle. For the climax, they hired 40 musicians, dressed them in tuxedos and funny hats, and told them they had 15 bars to ascend from the lowest note on their instruments to the highest. &#8220;Listen to those trumpets — they&#8217;re freaking out,&#8221; McCartney said. The final piano chord concluded <i>Sgt. Pepper</i> and made rock&#8217;s possibilities seem infinite.</p>
",https://www.rollingstone.com/wp-content/uploads/2021/09/24-beatles-a-day-in-the-life.jpeg?w=306&h=306&crop=1,1435552507
