,Song,Artist,Debute,Peak,Peak Date,Weeks
1,Got My Mind Set On You,George Harrison,1987-10-24,1,1988-01-16,22
2,All Those Years Ago,George Harrison,1981-05-23,2,1981-07-04,16
3,Blow Away,George Harrison,1979-03-03,16,1979-05-05,14
4,Give Me Love - (Give Me Peace On Earth),George Harrison,1973-05-19,1,1973-06-30,14
5,My Sweet Lord/Isn't It A Pity,George Harrison,1970-11-28,1,1970-12-26,14
6,When We Was Fab,George Harrison,1988-02-06,23,1988-03-26,11
7,Crackerbox Palace,George Harrison,1977-01-29,19,1977-03-26,11
8,This Song,George Harrison,1976-11-20,25,1977-01-08,11
9,You,George Harrison,1975-09-20,20,1975-11-01,10
10,Dark Horse,George Harrison,1974-11-23,15,1975-01-11,10
11,What Is Life,George Harrison,1971-02-27,10,1971-03-27,9
12,Bangla-Desh/Deep Blue,George Harrison,1971-08-14,23,1971-09-11,7
13,Ding Dong; Ding Dong,George Harrison,1975-01-11,36,1975-02-08,6
14,Wake Up My Love,George Harrison,1982-11-20,53,1982-12-04,5
15,My Sweet Lord,George Harrison,2002-02-02,94,2002-02-02,1
