,Song,Artist,Debute,Peak,Peak Date,Weeks
1,(Just Like) Starting Over,John Lennon,1980-11-01,1,1980-12-27,22
2,Woman,John Lennon,1981-01-17,2,1981-03-21,20
3,Watching The Wheels,John Lennon,1981-03-28,10,1981-05-23,17
4,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,1974-09-28,1,1974-11-16,15
5,Nobody Told Me,John Lennon,1984-01-21,5,1984-03-03,14
6,Instant Karma (We All Shine On),John Ono Lennon,1970-02-28,3,1970-03-28,13
7,MIND GAMES,John Lennon,1973-11-10,18,1973-12-29,13
8,#9 Dream,John Lennon,1974-12-21,9,1975-02-22,12
9,Cold Turkey,Plastic Ono Band,1969-11-15,30,1970-01-17,12
10,Imagine,John Lennon/Plastic Ono Band,1971-10-23,3,1971-11-13,9
11,Give Peace A Chance,Plastic Ono Band,1969-07-26,14,1969-09-06,9
12,Power To The People,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,1971-04-03,11,1971-05-01,9
13,Stand By Me,John Lennon,1975-03-15,20,1975-04-26,9
14,Mother,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,1971-01-09,43,1971-01-30,6
15,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,2018-12-29,38,2022-12-31,6
16,I'm Steppin' Out,John Lennon,1984-03-31,55,1984-04-21,6
17,Woman Is The Nigger Of The World,John Lennon/Plastic Ono Band With Elephant's Memory,1972-05-20,57,1972-06-10,5
18,Jealous Guy,John Lennon & The Plastic Ono Band,1988-10-15,80,1988-10-22,4
