,Song,Artist,Debute,Peak,Peak Date,Weeks
1,Say Say Say,Paul McCartney And Michael Jackson,1983-10-15,1,1983-12-10,22
2,Coming Up (Live At Glasgow),Paul McCartney And Wings,1980-04-26,1,1980-06-28,21
3,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015-02-07,4,2015-02-28,20
4,Ebony And Ivory,Paul McCartney And Stevie Wonder,1982-04-10,1,1982-05-15,19
5,Silly Love Songs,Wings,1976-04-10,1,1976-05-22,19
6,With A Little Luck,Wings,1978-03-25,1,1978-05-20,18
7,My Love,Paul McCartney And Wings,1973-04-14,1,1973-06-02,18
8,Band On The Run,Paul McCartney And Wings,1974-04-20,1,1974-06-08,18
9,No More Lonely Nights,Paul McCartney,1984-10-13,6,1984-12-08,18
10,The Girl Is Mine,Michael Jackson And Paul McCartney,1982-11-06,2,1983-01-08,18
11,Junior's Farm/Sally G,Paul McCartney And Wings,1974-11-09,3,1975-01-11,17
12,Spies Like Us,Paul McCartney,1985-11-23,7,1986-02-08,17
13,Take It Away,Paul McCartney,1982-07-10,10,1982-08-21,16
14,Let 'em In,Wings,1976-07-04,3,1976-08-14,16
15,Goodnight Tonight,Wings,1979-03-31,5,1979-05-19,16
16,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",2015-03-21,15,2015-03-21,15
17,Live And Let Die,Wings,1973-07-07,2,1973-08-11,14
18,Jet,Paul McCartney And Wings,1974-02-09,7,1974-03-30,14
19,Listen To What The Man Said,Wings,1975-05-31,1,1975-07-19,14
20,So Bad,Paul McCartney,1983-12-24,23,1984-02-11,14
21,Maybe I'm Amazed,Wings,1977-02-12,10,1977-04-02,13
22,Wonderful Christmastime,Paul McCartney,2018-12-29,26,2024-01-06,13
23,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,1971-08-14,1,1971-09-04,13
24,Helen Wheels,Paul McCartney And Wings,1973-11-24,10,1974-01-12,13
25,Another Day/Oh Woman Oh Why,Paul McCartney,1971-03-06,5,1971-04-17,12
26,Girls' School,Wings,1977-11-19,33,1978-01-14,11
27,"Hi, Hi, Hi",Wings,1972-12-16,10,1973-02-03,11
28,I've Had Enough,Wings,1978-06-17,25,1978-08-05,11
29,Press,Paul McCartney,1986-08-02,21,1986-09-13,11
30,"The World Tonight (From ""Fathers' Day"")",Paul McCartney,1997-05-24,64,1997-05-24,10
31,My Brave Face,Paul McCartney,1989-05-27,25,1989-07-08,10
32,Getting Closer,Wings,1979-06-16,20,1979-07-28,10
33,Arrow Through Me,Wings,1979-08-25,29,1979-10-13,10
34,Venus And Mars Rock Show,Wings,1975-11-01,12,1975-12-13,9
35,Give Ireland Back To The Irish,Wings,1972-03-11,21,1972-04-08,8
36,London Town,Wings,1978-09-09,39,1978-10-14,8
37,Tug Of War,Paul McCartney,1982-10-02,53,1982-10-23,8
38,Only One,Kanye West Featuring Paul McCartney,2015-01-17,35,2015-01-17,8
39,Mary Had A Little Lamb/Little Woman Love,Wings,1972-06-17,28,1972-07-22,7
40,Stranglehold,Paul McCartney,1986-11-15,81,1986-11-29,6
41,Hope Of Deliverance,Paul McCartney,1993-02-20,83,1993-03-13,6
42,Letting Go,Wings,1975-10-04,39,1975-10-25,6
43,Figure Of Eight,Paul McCartney,1990-01-13,92,1990-01-13,5
44,This One,Paul McCartney,1989-09-09,94,1989-09-16,3
45,Freedom,Paul McCartney,2001-12-15,97,2001-12-15,2
46,Dance Tonight,Paul McCartney,2007-07-07,69,2007-07-07,2
47,Sgt. Pepper's Lonely Hearts Club Band,Paul McCartney With U2,2005-07-23,48,2005-07-23,1
