,Song,Artist,Debute,Peak,Peak Date,Weeks
1,Photograph,Ringo Starr,1973-10-06,1,1973-11-24,16
2,You're Sixteen,Ringo Starr,1973-12-15,1,1974-01-26,15
3,No No Song/snookeroo,Ringo Starr,1975-02-08,3,1975-04-05,14
4,Oh My My,Ringo Starr,1974-03-09,5,1974-04-27,14
5,Only You,Ringo Starr,1974-11-16,6,1975-01-11,13
6,It Don't Come Easy,Ringo Starr,1971-05-01,4,1971-06-05,12
7,Wrack My Brain,Ringo Starr,1981-11-07,38,1981-12-12,11
8,Back Off Boogaloo,Ringo Starr,1972-04-01,9,1972-05-13,10
9,A Dose Of Rock 'N' Roll,Ringo Starr,1976-10-02,26,1976-11-06,9
10,It's All Down To Goodnight Vienna/Oo-Wee,Ringo Starr,1975-06-14,31,1975-07-12,7
11,Beaucoups Of Blues,Ringo Starr,1970-11-07,87,1970-11-28,5
12,Hey Baby,Ringo Starr,1977-01-29,74,1977-02-12,3
