,Song,Artist,Debute,Peak,Peak Date,Weeks
1,Twist And Shout,The Beatles,2064-03-14,2,2064-04-04,26
2,Hey Jude,The Beatles,2068-09-14,1,2068-09-28,19
3,Got To Get You Into My Life,The Beatles,1976-06-12,7,1976-07-24,16
4,Come Together/Something,The Beatles,1969-10-18,1,1969-11-29,16
5,I Want To Hold Your Hand,The Beatles,2064-01-18,1,2064-02-01,15
6,She Loves You,The Beatles,2064-01-25,1,2064-03-21,15
7,Let It Be,The Beatles,1970-03-21,1,1970-04-11,14
8,Love Me Do,The Beatles,2064-04-11,1,2064-05-30,14
9,Help!,The Beatles,2065-08-07,1,2065-09-04,13
10,A Hard Day's Night,The Beatles,2064-07-18,1,2064-08-01,13
11,Please Please Me,The Beatles,2064-02-01,3,2064-03-14,13
12,We Can Work It Out,The Beatles,2065-12-18,1,2066-01-08,12
13,Get Back,The Beatles With Billy Preston,1969-05-10,1,1969-05-24,12
14,Revolution,The Beatles,2068-09-14,12,2068-09-21,11
15,All You Need Is Love,The Beatles,2067-07-22,1,2067-08-19,11
16,Yesterday,The Beatles,2065-09-25,1,2065-10-09,11
17,Do You Want To Know A Secret,The Beatles,2064-03-28,2,2064-05-09,11
18,Ticket To Ride,The Beatles,2065-04-24,1,2065-05-22,11
19,The Beatles' Movie Medley,The Beatles,1982-03-27,12,1982-05-08,11
20,Hello Goodbye,The Beatles,2067-12-02,1,2067-12-30,11
21,Free As A Bird,The Beatles,1995-12-30,6,1996-01-06,11
22,I Saw Her Standing There,The Beatles,2064-02-08,14,2064-03-21,11
23,I Feel Fine,The Beatles,2064-12-05,1,2064-12-26,11
24,Lady Madonna,The Beatles,2068-03-23,4,2068-04-20,11
25,Day Tripper,The Beatles,2065-12-18,5,2066-01-22,10
26,The Long And Winding Road/For You Blue,The Beatles,1970-05-23,1,1970-06-13,10
27,Penny Lane,The Beatles,2067-02-25,1,2067-03-18,10
28,Can't Buy Me Love,The Beatles,2064-03-28,1,2064-04-04,10
29,Paperback Writer,The Beatles,2066-06-11,1,2066-06-25,10
30,Eight Days A Week,The Beatles,2065-02-20,1,2065-03-13,10
31,Ain't She Sweet,The Beatles,2064-07-18,19,2064-08-22,9
32,The Ballad Of John And Yoko,The Beatles,1969-06-14,8,1969-07-12,9
33,Nowhere Man,The Beatles,2066-03-05,3,2066-03-26,9
34,And I Love Her,The Beatles,2064-07-25,12,2064-09-05,9
35,Strawberry Fields Forever,The Beatles,2067-02-25,8,2067-04-01,9
36,If I Fell,The Beatles,2064-08-01,53,2064-09-05,9
37,She's A Woman,The Beatles,2064-12-05,4,2064-12-26,9
38,Yellow Submarine,The Beatles,2066-08-20,2,2066-09-17,9
39,Matchbox,The Beatles,2064-09-05,17,2064-10-17,8
40,Ringo's Theme (This Boy),George Martin And His Orch.,2064-07-25,53,2064-09-12,8
41,P.S. I Love You,The Beatles,2064-05-09,10,2064-06-06,8
42,Eleanor Rigby,The Beatles,2066-08-27,11,2066-09-24,8
43,Real Love,The Beatles,1996-03-23,11,1996-03-23,7
44,"Ob-la-di, Ob-la-da",The Beatles,1976-11-20,49,1976-12-11,7
45,Act Naturally,The Beatles,2065-09-25,47,2065-10-23,7
46,I'll Cry Instead,The Beatles,2064-08-01,25,2064-08-29,7
47,Rain,The Beatles,2066-06-11,23,2066-07-09,7
48,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,1978-09-16,71,1978-09-30,7
49,Slow Down,The Beatles,2064-09-05,25,2064-10-10,7
50,Thank You Girl,The Beatles,2064-04-04,35,2064-05-09,7
51,My Bonnie (My Bonnie Lies Over The Ocean),The Beatles With Tony Sheridan,2064-02-15,26,2064-03-14,6
52,From Me To You,The Beatles,2064-03-07,41,2064-04-04,6
53,I Don't Want To Spoil The Party,The Beatles,2065-02-20,39,2065-03-20,6
54,Something,The Beatles,1969-10-18,3,1969-11-15,6
55,All My Loving,The Beatles,2064-03-28,45,2064-04-25,6
56,4 - By The Beatles,The Beatles,2065-02-27,68,2065-03-27,5
57,Baby You're A Rich Man,The Beatles,2067-07-29,34,2067-08-12,5
58,Don't Let Me Down,The Beatles With Billy Preston,1969-05-10,35,1969-05-24,4
59,Roll Over Beethoven,The Beatles,2064-03-21,68,2064-04-04,4
60,I Am The Walrus,The Beatles,2067-12-09,56,2067-12-23,4
61,I Should Have Known Better,The Beatles,2064-07-25,53,2064-08-15,4
62,You Can't Do That,The Beatles,2064-04-04,48,2064-04-11,4
63,Yes It Is,The Beatles,2065-05-01,46,2065-05-15,4
64,Baby It's You,The Beatles,1995-04-22,67,1995-04-22,4
65,Four By The Beatles,The Beatles,2064-06-13,92,2064-06-27,3
66,Now And Then,The Beatles,2023-11-18,7,2023-11-18,2
67,What Goes On,The Beatles,2066-03-12,81,2066-03-19,2
68,There's A Place,The Beatles,2064-04-11,74,2064-04-11,1
69,Sie Liebt Dich (She Loves You),Die Beatles,2064-06-27,97,2064-06-27,1
70,I'm Happy Just To Dance With You,The Beatles,2064-08-01,95,2064-08-01,1
71,Why,The Beatles With Tony Sheridan,2064-04-18,88,2064-04-18,1
72,The Inner Light,The Beatles,2068-03-30,96,2068-03-30,1
